heart_rate, power, samples
79, 149.36191185049677, 3
80, 176.23254970064585, 4
81, 178.3562203580075, 6
82, 265.10807126464107, 7
83, 315.33774674401224, 17
84, 227.4172566274106, 18
85, 189.72775908784675, 14
86, 235.457393708591, 20
87, 258.50921459167273, 13
88, 189.6384359874732, 13
89, 240.2994156330946, 5
90, 212.43973819322434, 6
91, 230.66917843637512, 6
92, 347.35305714673495, 8
93, 172.07648405435148, 19
94, 463.02066986278845, 7
95, 243.70322870770755, 16
96, 259.60741939985877, 21
97, 204.0283191924432, 12
98, 279.86279674060194, 18
99, 167.47327927697097, 31
100, 166.6339637985701, 13
101, 280.8407396423039, 27
102, 204.85733439409995, 22
103, 150.54157985892354, 5
104, 175.26248077588707, 15
105, 284.87157509042726, 9
106, 339.5417866522101, 8
107, 500.61219730666, 12
108, 473.93025620142436, 8
109, 350.8418799023442, 5
110, 202.49396403005613, 9
111, 149.8247334131453, 6
112, 257.29697932498567, 7
113, 214.34239706286556, 6
114, 156.3491998756131, 6
115, 195.27843392102116, 11
116, 130.00583478028253, 19
117, 102.067782694098, 15
118, 102.54295127234508, 8
119, 282.7663787168626, 16
120, 155.79862609752135, 9
121, 192.79167004010043, 10
122, 132.2787712127419, 13
123, 141.86220001331725, 12
124, 199.08965710403578, 14
125, 227.01177548245866, 24
126, 215.38178232696006, 13
127, 196.2904527669382, 17
128, 237.41780456068435, 14
129, 146.3309696846873, 23
130, 252.34323129482735, 34
131, 170.54784579412993, 24
132, 225.81200118877135, 13
133, 231.84044528314757, 8
134, 369.48400395760996, 25
135, 250.35039027805385, 17
136, 317.28352244501576, 16
137, 265.61006557362464, 27
138, 218.7863683662486, 30
139, 253.85193137627394, 39
140, 244.03732835382723, 66
141, 233.10224902487548, 60
142, 214.79043171802323, 73
143, 292.26139101851186, 89
144, 288.2560657600568, 72
145, 263.2095000830458, 74
146, 256.8881151173019, 85
147, 242.40753255031652, 90
148, 201.34339493294232, 89
149, 195.11153142825174, 125
150, 273.76217774090213, 121
151, 252.79230277465766, 129
152, 254.02683124743504, 138
153, 286.41835928786685, 133
154, 308.9996394413912, 109
155, 296.5407941355139, 116
156, 265.1489203218057, 99
157, 315.04770472867267, 84
158, 315.60827223820894, 51
159, 200.03100445570513, 27
160, 322.8977957667833, 38
161, 294.9194580995816, 32
162, 342.098860505741, 28
163, 294.9301340415855, 15
164, 139.2779085596258, 4
165, 198.27112259903737, 2
166, 203.54341874544085, 1
167, 225.1671749414229, 7
